/Users/luna/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-02-22 12:37:52,501 - INFO -   ✗ Rejected: No match
2026-02-22 12:37:52,501 - INFO - [6/7120] Publisher Correction: Psychedelics elicit their effects by 5-HT2A rece...
2026-02-22 12:37:54,266 - INFO -   ✗ Not in S2 (404 - paper not indexed)
2026-02-22 12:37:54,266 - INFO - [7/7120] The science influencers going viral on TikTok to fight misinformation...
2026-02-22 12:37:56,465 - INFO -   ✗ Rejected: No match
2026-02-22 12:37:56,466 - INFO - [8/7120] Developmental convergence and divergence in human stem cell models of ...
2026-02-22 12:37:58,085 - INFO -   ✗ Rejected: No match
2026-02-22 12:37:58,086 - INFO - [9/7120] Daily briefing: The centre of our Galaxy might not be a black hole...
2026-02-22 12:37:59,846 - INFO -   ✗ Not in S2 (404 - paper not indexed)
2026-02-22 12:37:59,846 - INFO - [10/7120] Continuous-wave narrow-linewidth vacuum ultraviolet laser source...
2026-02-22 12:38:01,795 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:01,795 - INFO - [11/7120] Author Correction: Natural behaviour is learned through dopamine-media...
2026-02-22 12:38:03,773 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:03,773 - INFO - [12/7120] Science journalism on the ropes worldwide as US aid cuts bite...
2026-02-22 12:38:05,671 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:05,672 - INFO - [13/7120] The surprisingly big health benefits of just a little exercise...
2026-02-22 12:38:07,727 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:07,728 - INFO - [14/7120] How to eat well and within Earth’s limits...
2026-02-22 12:38:09,683 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:09,683 - INFO - [15/7120] The unfortunate embossing of Subsector XZ-74...
2026-02-22 12:38:11,580 - INFO -   ✗ Rejected: No match
