/Users/luna/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-02-22 12:40:57,656 - INFO - [6/278] Should the Loch Ness Monster have a scientific name?...
2026-02-22 12:40:59,584 - INFO -   ✗ Rejected: No match
2026-02-22 12:40:59,585 - INFO - [7/278] How to improve vaccine uptake: a huge study offers clues...
2026-02-22 12:41:01,434 - INFO -   ✗ Rejected: No match
2026-02-22 12:41:01,434 - INFO - [8/278] AI can spark creativity — if we ask it how, not what, to think...
2026-02-22 12:41:03,424 - INFO -   ✗ Rejected: No match
2026-02-22 12:41:03,424 - INFO - [9/278] Don’t assume that women’s low retraction rates reflect male ‘boldness’...
2026-02-22 12:41:05,170 - INFO -   ✗ Not in S2 (404 - paper not indexed)
2026-02-22 12:41:05,170 - INFO - [10/278] AlphaFold can help African researchers to do cutting-edge structural b...
2026-02-22 12:41:07,112 - INFO -   ✗ Rejected: No match
2026-02-22 12:41:07,113 - INFO - [11/278] No world-changing discoveries without biodiversity...
2026-02-22 12:41:08,821 - INFO -   ✗ Not in S2 (404 - paper not indexed)
2026-02-22 12:41:08,822 - INFO - [12/278] Phantom sinks and missing pollution: Legacies of a hardened number...
2026-02-22 12:41:10,748 - INFO -   ✗ Rejected: No match
2026-02-22 12:41:10,748 - INFO - [13/278] The co-occurrence of ingroup and outgroup prosociality across 121 soci...
2026-02-22 12:41:12,449 - WARNING -   ⚠ Rate limited by S2 - waiting 5 seconds then continuing...
2026-02-22 12:41:17,562 - INFO -   ✗ Skipping this paper due to rate limit
2026-02-22 12:41:17,563 - INFO - [14/278] Brain glucodynamic variability is an essential feature of the metaboli...
2026-02-22 12:41:19,202 - INFO -   ✗ Rejected: No match
2026-02-22 12:41:19,203 - INFO - [15/278] Ancient landscape evolution tracked through cosmogenic krypton in detr...
2026-02-22 12:41:20,935 - INFO -   ✗ Rejected: No match
2026-02-22 12:41:20,935 - INFO - [16/278] In This Issue...
2026-02-22 12:41:22,756 - INFO -   ✗ Rejected: No match
2026-02-22 12:41:22,756 - INFO - [17/278] Phosphatase SHP2 pathogenic mutations enhance activity by altering con...
2026-02-22 12:41:24,448 - INFO -   ✗ Not in S2 (404 - paper not indexed)
2026-02-22 12:41:24,448 - INFO - [18/278] Redox robustness drives LPMO evolution...
2026-02-22 12:41:26,155 - INFO -   ✗ Not in S2 (404 - paper not indexed)
